"","fold1","fold2","fold3","fold4"
"1",NA,NA,0,NA
"2",NA,1,NA,NA
"3",NA,NA,0,NA
"4",NA,NA,NA,0
"5",1,NA,NA,NA
"6",NA,NA,0,NA
"7",0,NA,NA,NA
"8",NA,0,NA,NA
"9",NA,NA,0,NA
"10",NA,NA,NA,0
"11",0,NA,NA,NA
"12",NA,1,NA,NA
"13",NA,NA,0,NA
"14",0,NA,NA,NA
"15",NA,0,NA,NA
"16",0,NA,NA,NA
"17",NA,NA,NA,1
"18",NA,0,NA,NA
"19",NA,NA,NA,0
"20",NA,NA,NA,0
"21",0,NA,NA,NA
"22",NA,0,NA,NA
"23",NA,NA,NA,0
"24",NA,NA,1,NA
"25",NA,NA,NA,0
"26",NA,0,NA,NA
"27",0,NA,NA,NA
"28",NA,NA,NA,0
"29",NA,0,NA,NA
"30",0,NA,NA,NA
"31",NA,0,NA,NA
"32",NA,NA,NA,0
"33",NA,0,NA,NA
"34",NA,NA,NA,0
"35",NA,NA,NA,0
"36",NA,NA,NA,0
"37",NA,0,NA,NA
"38",NA,NA,0,NA
"39",0,NA,NA,NA
"40",NA,NA,NA,0
"41",0,NA,NA,NA
"42",NA,NA,NA,0
"43",NA,NA,0,NA
"44",NA,NA,1,NA
"45",0,NA,NA,NA
"46",NA,0,NA,NA
"47",NA,0,NA,NA
"48",NA,NA,NA,0
"49",NA,NA,0,NA
"50",NA,NA,0,NA
"51",0,NA,NA,NA
"52",NA,0,NA,NA
"53",0,NA,NA,NA
"54",NA,NA,NA,1
"55",NA,NA,1,NA
"56",NA,0,NA,NA
"57",NA,NA,NA,0
"58",0,NA,NA,NA
"59",NA,NA,NA,0
"60",NA,0,NA,NA
"61",NA,NA,NA,1
"62",0,NA,NA,NA
"63",0,NA,NA,NA
"64",NA,NA,NA,1
"65",NA,NA,0,NA
"66",0,NA,NA,NA
"67",0,NA,NA,NA
"68",NA,NA,NA,1
"69",NA,0,NA,NA
"70",NA,NA,NA,0
"71",NA,NA,NA,0
"72",1,NA,NA,NA
"73",0,NA,NA,NA
"74",NA,0,NA,NA
"75",NA,NA,1,NA
"76",NA,NA,0,NA
"77",0,NA,NA,NA
"78",NA,0,NA,NA
"79",NA,0,NA,NA
"80",NA,NA,0,NA
"81",NA,NA,0,NA
"82",1,NA,NA,NA
"83",0,NA,NA,NA
"84",NA,0,NA,NA
"85",NA,0,NA,NA
"86",NA,NA,1,NA
"87",NA,NA,1,NA
"88",NA,NA,0,NA
"89",NA,NA,1,NA
"90",NA,1,NA,NA
"91",NA,NA,NA,0
"92",NA,NA,0,NA
"93",NA,0,NA,NA
"94",NA,0,NA,NA
"95",NA,0,NA,NA
"96",NA,NA,NA,1
"97",0,NA,NA,NA
"98",NA,NA,1,NA
